Name,Street Address,City,State,Zip Code,County,Phone,Description,Resource Type,Web Link,Notes,Latitude,Longitude
Karsh Family Social Service Center,3750 W. 6th St.,Los Angeles,CA,90020,Los Angeles,(213) 401-4651,"The center provides dental services, education services, emergency food, eye care services, legal services, mental health services and personal goods in Los Angeles County. There are no geographic restrictions.",Food Pantry,https://www.211la.org/211search/more?site_id=1069550001,,34.0634,-118.30434
Kennedy Austin Foundation,"1460 E. Holt Ave., Ste. 182",Pomona,CA,91767,Los Angeles,(909) 620-0912,"The agency provides emergency food, personal goods, self-help groups and youth services for people who live in Pomona, La Verne, Claremont and San Gabriel Valley. There are no geographic restrictions.",Food Pantry,https://www.211la.org/211search/more?site_id=1069340001,,34.06145,-117.720739
Kennedy High School,11254 Gothic Ave.,Granada Hills,CA,91344,Los Angeles,,LOCAL DISTRICT NORTHWEST,Food Distribution Program,https://www.jfkcougars.org/,,34.275246,-118.48835
Khalsa Care Foundation,9989 Laurel Canyon Blvd.,Pacoima,CA,91331,Los Angeles,,"The foundation provides emergency food for individuals of all ages, including those that are undocumented, in the San Fernando Valley. There are no geographic restrictions.",Food Pantry,https://www.211la.org/211search/more?site_id=1066120001,,34.251209,-118.42447
Latino Equality Alliance: Mi Centro: Pride Pantry,553 S. Clarence St.,Los Angeles,CA,90033,Los Angeles,,RSVP here: bit.ly/LEAPridePantry,Food Pantry,http://bit.ly/LEAPridePantry,,34.039485,-118.223458
Liechty Middle School,650 S. Union Ave.,Los Angeles,CA,90017,Los Angeles,,LOCAL DISTRICT CENTRAL,Food Distribution Program,https://liechtyms-lausd-ca.schoolloop.com/,,34.05553,-118.270139
Lincoln Senior High School,3501 N. Broadway,Los Angeles,CA,90031,Los Angeles,,LOCAL DISTRICT EAST,Food Distribution Program,http://www.lincolnhs.org/,,34.073975,-118.203744
Los Angeles Academy Middle School,644 56th St.,Los Angeles,CA,90011,Los Angeles,,LOCAL DISTRICT CENTRAL,Food Distribution Program,https://laacademyms-lausd-ca.schoolloop.com/,,33.99138,-118.26401
"Los Angeles County Workforce Development, Aging And Community Services - Asian Service Center",14112 S. Kingsley Dr.,Gardena,CA,90249,Los Angeles,(310) 217-7300,"The center provides emergency food and information and referral to people who live in Los Angeles County. The agency also acts as a cooling center during hot summer months. Services are targeted, but not restricted, to older adults and Asians/Pacific Islanders. There are no geographic restrictions.",Food Pantry,https://www.211la.org/211search/more?site_id=1009199001,,33.90287,-118.30389
"Los Angeles County Workforce Development, Aging And Community Services - Centro Maravilla Service Center",4716 E. Cesar E. Chavez Ave.,Los Angeles,CA,90022,Los Angeles,(323) 260-2804,The center provides emergency food and information and referral for residents of East Los Angeles zip code 90022. The center also acts as a cooling center during summer months. Geographic and other restrictions apply for some services.,Food Pantry,https://www.211la.org/211search/more?site_id=1007719001,,34.040439,-118.164394
"Los Angeles County Workforce Development, Aging And Community Services - East Los Angeles Community Service Center",133 N. Sunol Dr.,Los Angeles,CA,90063,Los Angeles,(323) 260-2801,"The agency provides emergency food, information and referral, recreational programs and utility bill assistance to people who live in East Los Angeles. Most services are restricted to East Los Angeles zip codes 90023, 90033 and 90063.",Food Pantry,https://www.211la.org/211search/more?site_id=1008469001,,34.037377,-118.178424
"Los Angeles County Workforce Development, Aging And Community Services - East Rancho Dominguez Service Center",15116 S. Atlantic Ave.,Compton,CA,90221,Los Angeles,(310) 603-7401,"This center provides community services, emergency food, nutrition programs, services for older adults and utility bill assistance to people who live in Compton, Paramount and the East Rancho Dominguez area. Services are targeted, but not restricted, to Compton, Paramount and East Rancho Dominquez area residents. There are no geographic restrictions.",Food Pantry,https://www.211la.org/211search/more?site_id=1008499001,,33.895363,-118.193117
"Los Angeles County Workforce Development, Aging And Community Services - Florence - Firestone Service Center",7807 S. Compton Ave.,Los Angeles,CA,90001,Los Angeles,(323) 586-6502,"The center provides CalFresh, emergency food, services for older adults and volunteer opportunities in the Florence/Firestone area. The center also houses and coordinates other programs and acts as a cooling center during hot summer months. There are age and geographic restrictions for some services.",Food Pantry,https://www.211la.org/211search/more?site_id=1008109001,,33.967955,-118.247805
"Los Angeles County Workforce Development, Aging And Community Services - San Gabriel Valley Service Center",1441 Santa Anita Ave.,South El Monte,CA,91733,Los Angeles,(626) 575-5431,"This is a multi-service community center that provides emergency food, information and referral, services for older adults and utility bill assistance for people who live in the San Gabriel Valley and Los Angeles County area.",Food Pantry,https://www.211la.org/211search/more?site_id=1025659001,,34.045155,-118.045541
"Los Angeles County Workforce Development, Aging And Community Services - San Pedro Service Center",769 W. Third St.,San Pedro,CA,90731,Los Angeles,(310) 519-6094,"The center provides adult education, emergency food, information and referral, services for older adults and utility bill assistance in the Harbor area. The center also acts as a cooling center during hot summer months. Geographic restrictions apply for some services.",Food Pantry,https://www.211la.org/211search/more?site_id=1007729001,,33.74139,-118.29386
"Los Angeles County Workforce Development, Aging And Community Services - Santa Clarita Valley Service Center",26111 Bouquet Canyon Rd.,Santa Clarita,CA,91350,Los Angeles,(661) 254-0070,"This is a multipurpose center that provides emergency food, information and referral, recreation programs, utility bill assistance and volunteer opportunities for people who live in the Santa Clarita Valley. The agency also acts as an cooling center during the summer months. Geographic restrictions apply for some services.",Food Pantry,https://www.211la.org/211search/more?site_id=1027159001,,34.41787,-118.542306
Los Angeles Regional Food Bank,1734 E. 41st St.,Los Angeles,CA,90058,Los Angeles,(323) 234-3030,The agency operates a food bank and food rescue program which receives and distributes food and delivers it to partner charities who are in Los Angeles County. There are no geographic restrictions.,Food Pantry,https://www.211la.org/211search/more?site_id=1027049001,,34.00788,-118.24202
Maclay Middle School,12540 Pierce Ave.,Pacoima,CA,91331,Los Angeles,,LOCAL DISTRICT NORTHEAST,Food Distribution Program,https://maclayms-lausd-ca.schoolloop.com/,,34.272261,-118.406166
Manual Arts High School,4131 S. Vermont Ave.,Los Angeles,CA,90037,Los Angeles,,LOCAL DISTRICT CENTRAL,Food Distribution Program,https://www.mahs.org/,,34.00857,-118.29217
Marina Del Rey Middle School,12500 Braddock Drive,Los Angeles,CA,90066,Los Angeles,,LOCAL DISTRICT WEST,Food Distribution Program,https://www.marinadelreyms.org/pf4/cms2_site/view_deployment?d=x&theme_id=i37cxv1z4o2inp&group_id=1537515271370,,33.987465,-118.421812
Markham Middle School,1650 E. 104th St.,Los Angeles,CA,90002,Los Angeles,,LOCAL DISTRICT SOUTH,Food Distribution Program,https://www.newmarkham.com/,,33.94133,-118.24418
Marquez Senior High School,6361 Cottage St.,Huntington Park,CA,90255,Los Angeles,,LOCAL DISTRICT EAST,Food Distribution Program,https://www.marquezhs.net/,,33.982386,-118.23384
Mother Of Sorrows Catholic Church,114 W. 87th St.,Los Angeles,CA,90003,Los Angeles,(323) 758-7697,"The church provides emergency food for people of all ages who live in Los Angeles zip code 90003, including people who are undocumented. Services are restricted to Los Angeles zip code 90003 residents.",Food Pantry,https://www.211la.org/211search/more?site_id=1033969001,,33.95854,-118.27451
Msgr Wood Community Center,2013 Colorado Ave.,Santa Monica,CA,90404,Los Angeles,(310) 829-4411,The community center provides emergency food for low-income people who live in the Santa Monica zip code 90404. Geographic restrictions apply.,Food Pantry,https://www.211la.org/211search/more?site_id=1009659001,,34.026225,-118.476852
Muir Middle School,5929 S. Vermont Ave.,Los Angeles,CA,90044,Los Angeles,,LOCAL DISTRICT WEST,Food Distribution Program,http://www.muirmiddle.org/cms/day?d=x&group_id=1260515558610&day_id=1476860400000&return_url=1474483833504,,33.98703,-118.29164
Mulholland Middle School,17120 Vanowen Ave.,Lake Balboa,CA,91406,Los Angeles,,LOCAL DISTRICT NORTHWEST,Food Distribution Program,https://www.mulhollandms.org/,,34.193659,-118.5065
My Friends House Inc,3533 W. 58th Pl.,Los Angeles,CA,90043,Los Angeles,(323) 292-4939,This agency provides emergency food for people who live in Los Angeles County. There are no geographic restrictions.,Food Pantry,https://www.211la.org/211search/more?site_id=1063720001,,33.98822,-118.33419
Narbonne Senior High School,24300 Western Ave.,Harbor City,CA,90710,Los Angeles,,LOCAL DISTRICT SOUTH,Food Distribution Program,https://www.narbonnehsgauchos.com/,,33.803817,-118.307247
North Hollywood Interfaith Food Pantry,4390 Colfax Ave.,North Hollywood,CA,91604,Los Angeles,(818) 760-3575,"The agency provides emergency food and information and referral for people who live primarily in North Hollywood, Studio City, Sun Valley and surrounding areas. There are no geographic restrictions.",Food Pantry,https://www.211la.org/211search/more?site_id=1032349001,,34.149969,-118.387554
North Valley Caring Services Inc,15453 Rayen St.,North Hills,CA,91343,Los Angeles,(818) 891-0481,"The agency provides education services, emergency food, holiday assistance, homeless support services and recreational programs for people who live in North Hills. There are no geographic restrictions.",Food Pantry,https://www.211la.org/211search/more?site_id=1043779001,,34.232022,-118.469299
Our Lady Queen Of Angels Catholic Church,535 N. Main St.,Los Angeles,CA,90012,Los Angeles,(213) 629-3101,"This church provides clothing, emergency food and holiday assistance for low-income people who primarily lives in the 90012 zip code area, including people who are homeless. Services are targeted, but not restricted, to the Spanish-speaking community. Geographic restrictions apply.",Food Pantry,https://www.211la.org/211search/more?site_id=1033679001,,34.0569,-118.2394
Our Saviour Center,4368 Santa Anita Ave.,El Monte,CA,91731,Los Angeles,(626) 579-2190,"This center provides emergency food, health services, motel vouchers and recreational programs for low-income people who live in El Monte and South El Monte. Services are restricted to El Monte and South El Monte residents.",Food Pantry,https://www.211la.org/211search/more?site_id=1032009001,,34.085669,-118.029273
Palmdale 7th Day Adventist Church Community Services,1758 E. Avenue R,Palmdale,CA,93550,Los Angeles,(661) 947-8496,"The agency provides clothing and emergency food for people who live in the Antelope Valley including Lake Los Angeles, Little Rock, Lancaster and Palmdale. Services are targeted, but not restricted, to Antelope Valley residents.",Food Pantry,https://www.211la.org/211search/more?site_id=1034759001,,34.408383,-118.123597
Palms Middle School,10860 Woodbine St.,Los Angeles,CA,90034,Los Angeles,,LOCAL DISTRICT WEST,Food Distribution Program,https://www.palmsmiddleschool.org/pf4/cms2_site/view_deployment?d=x&theme_id=ri241g29ausyn3u&group_id=1500178974193,,34.023755,-118.416564
Panorama Senior High School,8015 Van Nuys Blvd.,Panorama City,CA,91402,Los Angeles,,LOCAL DISTRICT NORTHEAST,Food Distribution Program,https://www.panoramahs.org/,,34.21646,-118.448966
Peace Lutheran Church,11690 Fenton Ave.,Lake View Terrace,CA,91342,Los Angeles,(818) 899-3950,The agency provides emergency food and food rescue programs for people in the Lake View Terrace area. There are no geographic restrictions.,Food Pantry,https://www.211la.org/211search/more?site_id=1057220001,,34.282477,-118.391701
Peary Middle School,1415 W. Gardena Blvd.,Gardena,CA,90247,Los Angeles,,LOCAL DISTRICT SOUTH,Food Distribution Program,https://pearyms-lausd-ca.schoolloop.com/,,33.884711,-118.300184
Pico Union Project,1153 Valencia St.,Los Angeles,CA,90015,Los Angeles,213-915-0084,Non-profit organization giving away free bags of produce and some toys and household goods on Tuesdays and Fridays from 12:30pm-3:00pm.,Emergency Food Distribution,http://picounionproject.org/,,34.04582,-118.27406
Porter Middle School,15960 Kingsbury St.,Granada Hills,CA,91344,Los Angeles,,LOCAL DISTRICT NORTHWEST,Food Distribution Program,https://www.porterms.com/,,34.263422,-118.480304
Rancho Dominguez Preparatory School,4110 Santa Fe Ave.,Los Angeles,CA,80910,Los Angeles,,LOCAL DISTRICT SOUTH,Food Distribution Program,https://rdps-lausd-ca.schoolloop.com/pf4/cms2_site/view_deployment?d=x&theme_id=i15cl1wmb23jn&group_id=1500178973693,,33.833068,-118.215017
Rescue Mission Alliance - Valley Food Bank - Calvary Baptist Of Pacoima (life Center),12900 Vaughn St.,San Fernando,CA,91340,Los Angeles,(818) 470-1480,"The agency provides emergency food for individuals, couples, families and seniors who live in the San Fernando Valley area. Services are targeted but not restricted to San Fernando Valley residents. No food is distributed from the Administrative Site. There are no geographic restrictions.",Food Pantry,https://www.211la.org/211search/more?site_id=1067440005,,34.288124,-118.413365
Rescue Mission Alliance - Valley Food Bank - Leaves Of Healing Tabernacle,"9420 Lurline Ave., #D",Chatsworth,CA,91311,Los Angeles,(818) 700-1374,"The agency provides emergency food for individuals, couples, families and seniors who live in the San Fernando Valley area. Services are targeted but not restricted to San Fernando Valley residents. No food is distributed from the Administrative Site. There are no geographic restrictions.",Food Pantry,https://www.211la.org/211search/more?site_id=1067440006,,34.241929,-118.584019
Atwater Housing Authority,2870 Crest Rd.,Atwater,CA,95301,Merced,,"4th Wednesday, 10-11am",USDA Commodity Program,https://mmcfb.org/get-help/,,37.361587,-120.585564
Rescue Mission Alliance - Valley Food Bank - New Hope Church,14539 Sylvan St.,Van Nuys,CA,91411,Los Angeles,(661) 294-7777,"The agency provides emergency food for individuals, couples, families and seniors who live in the San Fernando Valley area. Services are targeted but not restricted to San Fernando Valley residents. No food is distributed from the Administrative Site. There are no geographic restrictions.",Food Pantry,https://www.211la.org/211search/more?site_id=1067430004,,34.184803,-118.450075
Rescue Mission Alliance - Valley Food Bank - Rock Of The Valley,7722 Kester Ave.,Van Nuys,CA,91405,Los Angeles,(818) 781-4156,"The agency provides emergency food for individuals, couples, families and seniors who live in the San Fernando Valley area. Services are targeted but not restricted to San Fernando Valley residents. No food is distributed from the Administrative Site. There are no geographic restrictions.",Food Pantry,https://www.211la.org/211search/more?site_id=1067430006,,34.210903,-118.457332
Rescue Mission Alliance - Valley Food Bank - St Andrew And St Charles Church,16651 Rinaldi St.,Granada Hills,CA,91344,Los Angeles,(818) 366-7541,"The agency provides emergency food for individuals, couples, families and seniors who live in the San Fernando Valley area. Services are targeted but not restricted to San Fernando Valley residents. No food is distributed from the Administrative Site. There are no geographic restrictions.",Food Pantry,https://www.211la.org/211search/more?site_id=1067440004,,34.279498,-118.494981
Rescue Mission Alliance - Valley Food Bank - The House,18515 Sherman Way,Reseda,CA,91335,Los Angeles,(818) 631-2741,"The agency provides emergency food for individuals, couples, families and seniors who live in the San Fernando Valley area. Services are targeted but not restricted to San Fernando Valley residents. No food is distributed from the Administrative Site. There are no geographic restrictions.",Food Pantry,https://www.211la.org/211search/more?site_id=1067440003,,34.201255,-118.53663
Rescue Mission Alliance - Valley Food Bank - Valley Korean United Methodist Church,10408 Balboa Blvd.,Granda Hills,CA,91344,Los Angeles,(818) 366-0089,"The agency provides emergency food for individuals, couples, families and seniors who live in the San Fernando Valley area. Services are targeted but not restricted to San Fernando Valley residents. No food is distributed from the Administrative Site. There are no geographic restrictions.",Food Pantry,https://www.211la.org/211search/more?site_id=1067440007,,34.259525,-118.502107
Rescue Mission Alliance - Valley Food Bank - Valley Park Church,16514 Nordhoff St.,North Hills,CA,91343,Los Angeles,(818) 894-9316,"The agency provides emergency food for individuals, couples, families and seniors who live in the San Fernando Valley area. Services are targeted but not restricted to San Fernando Valley residents. No food is distributed from the Administrative Site. There are no geographic restrictions.",Food Pantry,https://www.211la.org/211search/more?site_id=1067440002,,34.235526,-118.492631
RFK/UCLA Community School,700 S. Mariposa Ave.,Los Angeles,CA,90005,Los Angeles,,LOCAL DISTRICT CENTRAL,Food Distribution Program,https://rfkschools-lausd-ca.schoolloop.com/,,34.05966,-118.29858
Romer Middle School,6501 Laurel Canyon Blvd.,North Hollywood,CA,91606,Los Angeles,,LOCAL DISTRICT NORTHEAST,Food Distribution Program,https://romerms-lausd-ca.schoolloop.com/,,34.188657,-118.39672
Saint Mark United Methodist Church,8305 S. Gramercy Pl.,Los Angeles,CA,90047,Los Angeles,(323) 753-3535,The agency provides emergency food service to individuals who live in Los Angeles County. There are no geographic restrictions.,Food Pantry,https://www.211la.org/211search/more?site_id=1061650001,,33.96321,-118.3135
Salvation Army - Southern California Divisional Headquarters - Los Angeles Family Services Office - On Hold,906 S. Francisco St.,Los Angeles,CA,90015,Los Angeles,(213) 896-9178,"This office oversees the programs, services, and operations of Salvation Army sites throughout Southern California. Locally, this office oversees 51 Salvation Army Corps Community Centers, seven Service Extension offices, three Silvercrest Residences for older adults, and a number of other Salvation Army programs located throughout Los Angeles County and surrounding counties. Direct services provided by this office include Disaster Services and Volunteer Opportunities. PROGRAMS INCLUDE Hospitality House - Santa Ana Salvation Army - Alegria Salvation Army - His House Salvation Army Bell Shelter Salvation Army Bellflower Corps Salvation Army Corps Community Center - Burbank Salvation Army Corps Community Center - Compton Salvation Army Corps Community Center - East Los Angeles Temple Salvation Army Corps Community Center - Glendale Salvation Army Corps Community Center - Hollywood Salvation Army Corps Community Center - Inglewood Salvation Army Corps Community Center - Lancaster Salvation Army Corps Community Center - Long Beach Salvation Army Corps Community Center - Pomona Salvation Army Corps Community Center - Redondo Beach Salvation Army Corps Community Center - San Fernando Valley Salvation Army Corps Community Center - San Pedro Salvation Army Corps Community Center - Santa Monica Salvation Army Corps Community Center - Whittier Salvation Army Family Service Office - Los Angeles Salvation Army Los Angeles Day Care Center Salvation Army Los Angeles Korean Corps Salvation Army Missing Persons Department Salvation Army Red Shield Youth and Community Center Salvation Army San Gabriel Corps Salvation Army Service Extension Office - Newhall Salvation Army Thrift Stores Salvation Army Westwood Transitional Village",Food Pantry,https://www.211la.org/211search/more?site_id=1000529003,,34.04652,-118.26488
Salvation Army - Stillman Sawyer Family Center,820 Lomita Blvd.,Harbor City,CA,90710,Los Angeles,(310) 835-1986,"The agency provides emergency food, holiday assistance and personal goods for families, couples and individuals who live in the South Bay area of Los Angeles County. Services are restricted to Carson, Harbor City, Lomita, Torrance, and Wilmington.",Food Pantry,https://www.211la.org/211search/more?site_id=1032499001,,33.797917,-118.290714
Salvation Army Corps Community Center - Compton,736 E. Compton Blvd.,Compton,CA,90221,Los Angeles,(310) 639-0362,"The agency provides emergency food, holiday assistance, recreational programs, transportation, and utility bill assistance for families, couples and individuals who live in Compton and Lynwood zip codes 90220, 90221, 90222 and 90262. The agency also offers social and recreational activities for youth and adults; and services for older adults. Advocacy and information and referral services are available for adults who receive other services provided by this agency.",Food Pantry,https://www.211la.org/211search/more?site_id=1007579001,,33.895636,-118.215217
Salvation Army Corps Community Center - East Los Angeles Temple,140 N. Eastman Ave.,Los Angeles,CA,90063,Los Angeles,(323) 263-7577,"The agency provides emergency food and utility bill assistance for people who live in the East Los Angeles area. Services are targeted, but not restricted, to East Los Angeles residents.",Food Pantry,https://www.211la.org/211search/more?site_id=1015859001,,34.037121,-118.185623
Salvation Army Corps Community Center - Glendale,320 W. Windsor Rd.,Glendale,CA,91204,Los Angeles,(818) 246-5586,"The agency provides emergency food, holiday assistance, nutrition programs, recreational programs and shelter for people who live in Glendale and Burbank areas. Income, age, and geographic restrictions apply for some services.",Food Pantry,https://www.211la.org/211search/more?site_id=1020599001,,34.136364,-118.258671
Lassen-Modoc Food Bank,611 Main Street,Susanville,CA,96130,Modoc,(530) 257-4884,,Food Bank,http://www.partnershiphp.org/Community/Documents/Modoc/Modoc_Food.pdf,,40.419102,-120.662431
Salvation Army Corps Community Center - Long Beach,3092 Long Beach Blvd.,Long Beach,CA,90807,Los Angeles,(562) 426-7637,"This agency offers counseling services, emergency food, holiday assistance, social and recreational activities and transportation for youth and adults who live in Long Beach, Signal Hill and Lakewood. The agency also provides administrative services for and houses the Salvation Army's Long Beach Family Service Office which offers a variety of services.",Food Pantry,https://www.211la.org/211search/more?site_id=1015559001,,33.813162,-118.189027
Salvation Army Corps Community Center - Santa Monica,1533 4th St.,Santa Monica,CA,90401,Los Angeles,(310) 451-1358,"The agency provides emergency food, homeless support services, holiday assistance, personal goods, services for older adults and recreational programs for people of all ages who are in Santa Monica, including people who are homeless. Services are restricted to Santa Monica and Venice residents.",Food Pantry,https://www.211la.org/211search/more?site_id=1010729001,,34.014751,-118.492991
Salvation Army Corps Community Center - South Central Los Angeles,7651 S. Central Ave.,Los Angeles,CA,90001,Los Angeles,(323) 586-0288,"The agency provides early childhood education, emergency food, holiday assistance, recreational programs and utility bill assistance for adults and youth who live in South Central Los Angeles. There are geographic and age restrictions for some services.",Food Pantry,https://www.211la.org/211search/more?site_id=1067390001,,33.97007,-118.25659
Salvation Army Corps Family Service Center - San Pedro,138 S. Bandini St.,San Pedro,CA,90731,Los Angeles,(310) 832-7228,"This agency provides adult day care, emergency food, holiday assistance, recreational programs and utility bill assistance for people who live in San Pedro, Harbor City, Lomita, South Carson and Wilmington. There are no geographic restrictions.",Food Pantry,https://www.211la.org/211search/more?site_id=1015569001,,33.742672,-118.29854
Salvation Army Service Extension Office - Newhall,"229-35 Lyons Ave., Ste. E",Newhall,CA,91321,Los Angeles,(661) 799-7486,"The agency provides emergency food, holiday assistance, personal goods, recreational programs and utility bill assistance for people who live in Aqua Dulce, Newhall, Santa Clarita, Saugus, Val Verde and Valencia. Geographic restrictions apply for some services.",Food Pantry,https://www.211la.org/211search/more?site_id=1044589001,,34.379445,-118.542519
Salvation Army Southeast Communities Corp - Huntington Park,2965 E. Gage Ave.,Huntington Park,CA,90255,Los Angeles,(323) 587-4221,"This agency provides a companionship program, emergency food, holiday assistance, homeless support services, personal enrichment and utility bill assistance for people who live in Bell, Bell Gardens, Cudahy, Downey, Huntington Park, Maywood, South Gate, Vernon and Walnut Park. Information and referral services are also available for adults who receive other services provided by this agency. It also serves as one of the five intake sites for the Bell shelter (see separate entry for details). Geographic restrictions apply for some services.",Food Pantry,https://www.211la.org/211search/more?site_id=1005099001,,33.981338,-118.216662
San Fernando Senior High School,11133 O’Melveny Ave.,San Fernando,CA,90140,Los Angeles,,LOCAL DISTRICT NORTHEAST,Food Distribution Program,https://www.sanfernandohs.com/,,34.27238,-118.44232
San Gabriel Mission Christian Service Center,254 1/2 S. Santa Anita,San Gabriel,CA,91776,Los Angeles,(626) 289-5165,"The center provides emergency food, holiday assistance, personal goods for low-income and homeless people of all ages who live in the city of San Gabriel and volunteer opportunities for people 18 years and older who live in San Gabriel Valley. Service is restricted to San Gabriel Mission Parish boundaries.",Food Pantry,https://www.211la.org/211search/more?site_id=1032019001,,34.098623,-118.107642
Santa Clarita Valley Food Pantry,24133 Railroad Ave.,Newhall,CA,91321,Los Angeles,(661) 255-9078,"The agency provides emergency food for low-income families in the Santa Clarita Valley, including people who are homeless or homebound. Services are restricted to Santa Clarita Valley residents.",Food Pantry,https://www.211la.org/211search/more?site_id=1033729001,,34.376488,-118.525257
Santee High School,1921 Maple Ave.,Los Angeles,CA,90011,Los Angeles,,LOCAL DISTRICT CENTRAL,Food Distribution Program,https://www.santeefalcons.org/,,34.028881,-118.262204
Sepulveda Middle School,15330 Plummer St.,North Hills,CA,91343,Los Angeles,,LOCAL DISTRICT NORTHWEST,Food Distribution Program,https://sepulvedams-lausd-ca.schoolloop.com/,,34.242569,-118.466362
Shekinah Worship Center,42640 10th St. West,Lancaster,CA,93534,Los Angeles,(661) 940-8378,The center provides emergency food to individuals in the Antelope Valley. Geographic restrictions apply.,Food Pantry,https://www.211la.org/211search/more?site_id=1053649001,,34.658923,-118.147572
Shepherd's Pantry,1418 Arrow Hwy.,Irwindale,CA,91706,Los Angeles,(626) 305-0392,"The agency provides emergency food, information and referral, personal goods and volunteer opportunities for people who live in the San Gabriel Valley area. There are no geographic restrictions.",Food Pantry,https://www.211la.org/211search/more?site_id=1055249001,,34.114878,-117.976492
Shepherd's Pantry - Baldwin Park,13020 Francisquito Ave.,Baldwin Park,CA,91706,Los Angeles,(626) 671-0090,"The agency provides emergency food, information and referral, personal goods and volunteer opportunities for people who live in the San Gabriel Valley area. There are no geographic restrictions.",Food Pantry,https://www.211la.org/211search/more?site_id=1068660026,,34.078848,-117.988895
Shepherd's Pantry - Glendora,"657 E. Arrow Hwy., Ste. J",Glendora,CA,91740,Los Angeles,(626) 852-7630,"The agency provides emergency food, information and referral, personal goods and volunteer opportunities for people who live in the San Gabriel Valley area. There are no geographic restrictions.",Food Pantry,https://www.211la.org/211search/more?site_id=1070880002,,34.107059,-117.850815
Sotomayor Arts/Sciences Magnet,2050 N. San Fernando Road,Los Angeles,CA,90065,Los Angeles,,LOCAL DISTRICT CENTRAL,Food Distribution Program,https://www.sotomayor.la/,,34.113092,-118.244239
South East Senior High School,2720 Tweedy Blvd.,South Gate,CA,90280,Los Angeles,,LOCAL DISTRICT EAST,Food Distribution Program,https://southeast-lausd-ca.schoolloop.com/pf4/cms2_site/view_deployment?d=x&theme_id=iy2g2g20dp65c6&group_id=1500178973927,,33.945802,-118.221722
South Gate Senior High School,3351 Firestone Blvd.,South Gate,CA,90080,Los Angeles,,LOCAL DISTRICT EAST,Food Distribution Program,https://www.southgatehs.org/,,33.954756,-118.209863
Sova Food Pantry And Resource Center - Valley,16439 Vanowen St.,Van Nuys,CA,91406,Los Angeles,(818) 988-7682,"The administrative office provides information on Sova emergency food programs in West Los Angeles and San Fernando Valley. Services are targeted, but not restricted to West Los Angeles and San Fernando Valley residents. There are geographic restrictions.",Food Pantry,https://www.211la.org/211search/more?site_id=1034469004,,34.194285,-118.491601
Sova Food Pantry And Resource Center - West,8846 W. Pico Blvd.,Los Angeles,CA,90035,Los Angeles,(818) 988-7682,"The administrative office provides information on Sova emergency food programs in West Los Angeles and San Fernando Valley. Services are targeted, but not restricted to West Los Angeles and San Fernando Valley residents. There are geographic restrictions.",Food Pantry,https://www.211la.org/211search/more?site_id=1034469003,,34.05482,-118.38486
Sowing Seeds For Life,1350 Arrow Hwy.,La Verne,CA,91750,Los Angeles,(909) 293-7735,The agency provides emergency food for people in Los Angeles County. There are no geographic restrictions.,Food Pantry,https://www.211la.org/211search/more?site_id=1069090001,,34.100366,-117.785848
St Athanasius And St Paul,840 Echo Park Ave.,Los Angeles,CA,90026,Los Angeles,(213) 482-2040,The church provides emergency food for people who live in Los Angeles. Geographic restrictions apply.,Food Pantry,https://www.211la.org/211search/more?site_id=1034819001,,34.073261,-118.259383
St Augustine Volunteer Emergency Services,3850 Jasmine Ave.,Culver City,CA,90232,Los Angeles,(310) 838-2702,The agency provides emergency food for people who live in Culver City and portions of Los Angeles zip codes 90034. Geographic restrictions apply.,Food Pantry,https://www.211la.org/211search/more?site_id=1034269001,,34.02097,-118.400864
St Charles Holy Family Service Center,10825 Moorpark St.,North Hollywood,CA,91602,Los Angeles,(818) 985-7365,"The center provides emergency food, homeless support services, household goods and personal goods for families who live within parish boundaries which extend north to Victory Blvd., south to Mulholland, east to Hollywood Way and west to Laurel Canyon, including people who are undocumented. Services are also available for people who are homeless. Services are restricted to parish boundaries residents. Persons living outside our boundaries may receive assistance one time.",Food Pantry,https://www.211la.org/211search/more?site_id=1033469001,,34.150476,-118.36688
St Elisabeth Catholic Church - Service Center Distribution Site,6640 Cedros Ave.,Van Nuys,CA,91405,Los Angeles,(818) 779-1756,This agency provides emergency food and personal goods for people who live in Van Nuys. Services are restricted to Van Nuys residents.,Food Pantry,https://www.211la.org/211search/more?site_id=1033819002,,34.191841,-118.452856
St Ferdinand Outreach Center,1040 Coronel St.,San Fernando,CA,91340,Los Angeles,(818) 365-3194,The agency provides emergency food and utility bill assistance for people in the San Fernando Valley. Geographic restrictions apply for some services.,Food Pantry,https://www.211la.org/211search/more?site_id=1060870001,,34.280797,-118.442999
St Frances Of Rome Food Bank,501 E. Foothill Blvd.,Azusa,CA,91702,Los Angeles,(626) 969-1829,"The agency provides emergency food and holiday assistance for people in Azusa, including people who are undocumented and who receive government assistance. Services are restricted to Azusa residents.",Food Pantry,https://www.211la.org/211search/more?site_id=1034319001,,34.133596,-117.902425
St Gerard Majella Church,4439 Inglewood Blvd.,Los Angeles,CA,90066,Los Angeles,(310) 390-5034,The agency provides emergency food for people who live in West Los Angeles. The service area includes part of zip codes 90066 and 90230. Service is restricted to West Los Angeles residents.,Food Pantry,https://www.211la.org/211search/more?site_id=1043399001,,33.995411,-118.418931
